Pos	-	t	n	a	k	g	c	y	r	s	w	m	d	v	b	u	h
18392	0	94116	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18393	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18394	0	19	13	1	1	94096	0	0	0	0	0	0	0	0	0	0	0
18395	0	226	13	0	0	0	93884	7	0	0	0	0	0	0	0	0	0
18396	0	94115	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18397	0	5	12	7	0	94106	0	0	0	0	0	0	0	0	0	0	0
18398	0	94044	12	0	0	0	74	0	0	0	0	0	0	0	0	0	0
18399	0	0	11	94116	0	3	0	0	0	0	0	0	0	0	0	0	0
18400	0	6	10	0	0	1	94110	3	0	0	0	0	0	0	0	0	0
18401	0	10	10	0	0	0	94108	2	0	0	0	0	0	0	0	0	0
18402	0	94115	10	1	0	0	4	0	0	0	0	0	0	0	0	0	0
18403	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18404	0	0	10	0	0	0	94118	2	0	0	0	0	0	0	0	0	0
18405	0	0	10	94118	0	2	0	0	0	0	0	0	0	0	0	0	0
18406	0	0	10	0	0	94120	0	0	0	0	0	0	0	0	0	0	0
18407	0	0	10	0	0	94120	0	0	0	0	0	0	0	0	0	0	0
18408	0	94108	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0
18409	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18410	0	0	12	94113	0	5	0	0	0	0	0	0	0	0	0	0	0
18411	0	94113	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0
18412	6	49	13	3	2	94057	0	0	0	0	0	0	0	0	0	0	0
18413	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18414	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18415	0	0	12	0	0	94118	0	0	0	0	0	0	0	0	0	0	0
18416	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
18417	0	94109	11	0	0	0	10	0	0	0	0	0	0	0	0	0	0
18418	0	0	12	94118	0	0	0	0	0	0	0	0	0	0	0	0	0
18419	0	0	11	0	0	0	94119	0	0	0	0	0	0	0	0	0	0
18420	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
18421	0	1	11	0	0	0	94117	1	0	0	0	0	0	0	0	0	0
18422	0	0	11	0	0	0	94119	0	0	0	0	0	0	0	0	0	0
18423	0	94119	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0
18424	0	0	11	93712	0	407	0	0	0	0	0	0	0	0	0	0	0
18425	0	0	10	94115	0	0	5	0	0	0	0	0	0	0	0	0	0
18426	0	94119	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18427	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18428	0	0	10	94118	0	1	0	0	1	0	0	0	0	0	0	0	0
18429	0	94112	10	0	0	0	5	3	0	0	0	0	0	0	0	0	0
18430	0	0	10	94119	0	0	0	0	0	0	1	0	0	0	0	0	0
18431	0	6	10	0	0	0	94109	5	0	0	0	0	0	0	0	0	0
18432	0	0	10	94116	0	4	0	0	0	0	0	0	0	0	0	0	0
18433	0	4	10	3	0	94113	0	0	0	0	0	0	0	0	0	0	0
18434	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18435	0	94108	10	0	0	10	2	0	0	0	0	0	0	0	0	0	0
18436	0	94110	11	0	0	0	8	0	0	0	1	0	0	0	0	0	0
18437	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18438	0	94102	10	0	0	0	18	0	0	0	0	0	0	0	0	0	0
18439	0	94119	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18440	1	5	10	0	0	0	94114	0	0	0	0	0	0	0	0	0	0
18441	0	3	10	0	0	0	94117	0	0	0	0	0	0	0	0	0	0
18442	0	0	10	94119	0	0	0	0	1	0	0	0	0	0	0	0	0
18443	0	0	10	0	1	94119	0	0	0	0	0	0	0	0	0	0	0
18444	0	0	12	94116	0	0	1	0	1	0	0	0	0	0	0	0	0
18445	0	1	12	1	5	94111	0	0	0	0	0	0	0	0	0	0	0
18446	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18447	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18448	0	0	13	94116	0	0	0	0	1	0	0	0	0	0	0	0	0
18449	0	3	12	2	3	94110	0	0	0	0	0	0	0	0	0	0	0
18450	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18451	0	0	10	0	0	94120	0	0	0	0	0	0	0	0	0	0	0
18452	0	57	10	0	0	0	94059	4	0	0	0	0	0	0	0	0	0
18453	0	94103	11	0	0	0	16	0	0	0	0	0	0	0	0	0	0
18454	0	0	11	94118	0	0	0	0	0	0	1	0	0	0	0	0	0
18455	0	0	11	94118	0	0	0	0	1	0	0	0	0	0	0	0	0
18456	0	0	12	94117	0	1	0	0	0	0	0	0	0	0	0	0	0
18457	0	48	12	0	0	0	94068	2	0	0	0	0	0	0	0	0	0
18458	0	1	13	0	0	0	94113	3	0	0	0	0	0	0	0	0	0
18459	0	0	13	94116	0	1	0	0	0	0	0	0	0	0	0	0	0
18460	0	0	13	0	0	0	94117	0	0	0	0	0	0	0	0	0	0
18461	0	0	14	0	0	0	94113	2	0	1	0	0	0	0	0	0	0
18462	0	4	14	4	1	94106	0	0	1	0	0	0	0	0	0	0	0
18463	0	14	14	0	0	0	94102	0	0	0	0	0	0	0	0	0	0
18464	0	12	14	0	0	0	94103	1	0	0	0	0	0	0	0	0	0
18465	0	94114	14	0	0	2	0	0	0	0	0	0	0	0	0	0	0
18466	0	0	15	1	0	94114	0	0	0	0	0	0	0	0	0	0	0
18467	0	0	13	0	0	94117	0	0	0	0	0	0	0	0	0	0	0
18468	0	0	13	94099	0	2	16	0	0	0	0	0	0	0	0	0	0
18469	0	0	13	0	1	94116	0	0	0	0	0	0	0	0	0	0	0
18470	0	0	13	94117	0	0	0	0	0	0	0	0	0	0	0	0	0
18471	0	94092	13	0	0	0	24	1	0	0	0	0	0	0	0	0	0
18472	0	0	13	0	0	0	94116	0	0	0	0	1	0	0	0	0	0
18473	0	0	13	94117	0	0	0	0	0	0	0	0	0	0	0	0	0
18474	0	0	13	94116	0	1	0	0	0	0	0	0	0	0	0	0	0
18475	0	94116	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18476	0	94117	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18477	0	94117	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18478	0	0	11	94118	0	1	0	0	0	0	0	0	0	0	0	0	0
18479	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18480	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18481	0	4	10	0	0	0	94115	1	0	0	0	0	0	0	0	0	0
18482	0	1	10	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
18483	0	3	9	0	0	0	94117	1	0	0	0	0	0	0	0	0	0
18484	0	0	9	1	0	0	94120	0	0	0	0	0	0	0	0	0	0
18485	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486	0	150	11	0	0	1	93959	9	0	0	0	0	0	0	0	0	0
18487	0	1	9	94118	0	1	0	0	0	0	1	0	0	0	0	0	0
18488	0	94043	9	0	0	0	77	1	0	0	0	0	0	0	0	0	0
18489	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18490	0	3	10	2	0	0	94113	2	0	0	0	0	0	0	0	0	0
18491	0	1	9	0	0	0	94117	3	0	0	0	0	0	0	0	0	0
18492	0	0	10	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
18493	0	3	10	0	0	0	94116	1	0	0	0	0	0	0	0	0	0
18494	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18495	0	94102	10	0	0	0	16	2	0	0	0	0	0	0	0	0	0
18496	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18497	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18498	0	14	10	0	3	94103	0	0	0	0	0	0	0	0	0	0	0
18499	0	94119	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18500	0	0	10	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
18501	0	10	10	0	0	0	94108	1	0	0	0	1	0	0	0	0	0
18502	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18503	0	0	10	94120	0	0	0	0	0	0	0	0	0	0	0	0	0
18504	0	0	11	94114	0	5	0	0	0	0	0	0	0	0	0	0	0
18505	0	0	11	0	0	94109	0	0	10	0	0	0	0	0	0	0	0
18506	0	0	11	0	7	94111	0	0	0	1	0	0	0	0	0	0	0
18507	0	1	12	94116	0	1	0	0	0	0	0	0	0	0	0	0	0
18508	0	148	12	0	0	0	93963	7	0	0	0	0	0	0	0	0	0
18509	0	94103	12	1	1	13	0	0	0	0	0	0	0	0	0	0	0
18510	0	94115	11	0	0	1	2	1	0	0	0	0	0	0	0	0	0
18511	0	13	12	0	0	0	94104	1	0	0	0	0	0	0	0	0	0
18512	0	3	11	3	0	0	94111	1	0	0	0	1	0	0	0	0	0
18513	0	94107	11	1	0	0	11	0	0	0	0	0	0	0	0	0	0
18514	0	94119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18515	0	0	8	0	0	94121	0	0	0	1	0	0	0	0	0	0	0
18516	0	1	8	0	1	94120	0	0	0	0	0	0	0	0	0	0	0
18517	0	0	9	94120	0	0	0	0	1	0	0	0	0	0	0	0	0
18518	0	0	8	94121	0	0	0	0	1	0	0	0	0	0	0	0	0
18519	0	94120	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18520	0	1	8	1	2	94117	0	0	0	1	0	0	0	0	0	0	0
18521	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18522	0	0	9	94119	0	1	0	0	1	0	0	0	0	0	0	0	0
18523	0	2	9	0	0	94119	0	0	0	0	0	0	0	0	0	0	0
18524	0	94119	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18525	0	9	11	0	2	94106	2	0	0	0	0	0	0	0	0	0	0
18526	0	46	10	0	0	0	94068	6	0	0	0	0	0	0	0	0	0
18527	0	0	8	0	0	94121	0	0	0	1	0	0	0	0	0	0	0
18528	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18529	0	0	9	94118	0	2	0	0	0	0	0	1	0	0	0	0	0
18530	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18531	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18532	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18533	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18534	0	5	9	4	2	94109	0	0	0	1	0	0	0	0	0	0	0
18535	0	0	10	94074	0	44	2	0	0	0	0	0	0	0	0	0	0
18536	0	94120	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18537	0	94117	10	1	0	0	2	0	0	0	0	0	0	0	0	0	0
18538	0	66	9	2	0	94053	0	0	0	0	0	0	0	0	0	0	0
18539	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18540	0	1	9	94119	0	1	0	0	0	0	0	0	0	0	0	0	0
18541	0	0	9	0	0	0	94119	1	0	0	0	0	0	0	0	0	1
18542	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18543	0	0	9	94119	0	2	0	0	0	0	0	0	0	0	0	0	0
18544	0	0	9	94120	0	0	0	0	1	0	0	0	0	0	0	0	0
18545	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18546	0	7	8	0	0	94115	0	0	0	0	0	0	0	0	0	0	0
18547	0	94120	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18548	0	94120	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0
18549	0	0	8	94122	0	0	0	0	0	0	0	0	0	0	0	0	0
18550	0	0	8	94120	0	1	0	0	0	0	0	1	0	0	0	0	0
18551	0	0	9	0	0	94121	0	0	0	0	0	0	0	0	0	0	0
18552	0	94119	9	0	1	0	1	0	0	0	0	0	0	0	0	0	0
18553	0	0	9	0	0	94121	0	0	0	0	0	0	0	0	0	0	0
18554	0	0	9	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18555	0	7059	10	0	0	0	87055	6	0	0	0	0	0	0	0	0	0
18556	0	0	9	94120	0	0	0	0	0	0	1	0	0	0	0	0	0
18557	0	4	8	0	0	0	94117	1	0	0	0	0	0	0	0	0	0
18558	0	0	8	94122	0	0	0	0	0	0	0	0	0	0	0	0	0
18559	0	2	8	0	0	0	94119	0	0	0	0	1	0	0	0	0	0
18560	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18561	0	94123	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18562	0	0	7	94120	0	1	1	0	1	0	0	0	0	0	0	0	0
18563	0	0	7	94122	0	0	0	0	0	0	1	0	0	0	0	0	0
18564	0	0	7	94123	0	0	0	0	0	0	0	0	0	0	0	0	0
18565	0	0	7	94122	0	0	0	0	1	0	0	0	0	0	0	0	0
18566	0	0	7	94123	0	0	0	0	0	0	0	0	0	0	0	0	0
18567	0	94119	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0
18568	0	471	7	0	0	0	93643	9	0	0	0	0	0	0	0	0	0
18569	0	94124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18570	0	79	6	1	0	0	94040	4	0	0	0	0	0	0	0	0	0
18571	0	94124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18572	0	0	6	0	0	0	94123	1	0	0	0	0	0	0	0	0	0
18573	0	94121	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0
18574	0	0	6	0	1	94123	0	0	0	0	0	0	0	0	0	0	0
18575	0	0	6	94124	0	0	0	0	0	0	0	0	0	0	0	0	0
18576	0	4	6	0	0	0	94119	1	0	0	0	0	0	0	0	0	0
18577	0	0	6	94123	0	0	1	0	0	0	0	0	0	0	0	0	0
18578	0	0	6	1	0	94123	0	0	0	0	0	0	0	0	0	0	0
18579	0	0	6	94116	0	1	6	0	1	0	0	0	0	0	0	0	0
18580	0	2	6	0	0	94122	0	0	0	0	0	0	0	0	0	0	0
18581	0	94124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18582	0	5	6	0	0	0	94118	1	0	0	0	0	0	0	0	0	0
18583	0	64	6	3	1	94055	0	0	1	0	0	0	0	0	0	0	0
18584	0	94123	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18585	0	1	7	94118	0	3	0	0	1	0	0	0	0	0	0	0	0
18586	0	94122	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18587	0	94123	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18588	0	94121	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18589	0	1	7	1	0	94121	0	0	0	0	0	0	0	0	0	0	0
18590	0	94123	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18591	0	3	9	1	0	0	94117	0	0	0	0	0	0	0	0	0	0
18592	0	94118	8	0	0	1	3	0	0	0	0	0	0	0	0	0	0
18593	0	94121	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18594	0	1	8	94121	0	0	0	0	0	0	0	0	0	0	0	0	0
18595	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18596	0	1	11	0	0	94118	0	0	0	0	0	0	0	0	0	0	0
18597	0	0	7	0	0	94123	0	0	0	0	0	0	0	0	0	0	0
18598	0	0	6	0	0	94124	0	0	0	0	0	0	0	0	0	0	0
18599	0	0	7	0	0	0	94123	0	0	0	0	0	0	0	0	0	0
18600	0	1	8	94120	0	0	0	0	0	0	1	0	0	0	0	0	0
18601	0	2	6	0	0	1	94120	1	0	0	0	0	0	0	0	0	0
18602	0	0	5	94123	0	2	0	0	0	0	0	0	0	0	0	0	0
18603	0	94108	6	0	0	0	16	0	0	0	0	0	0	0	0	0	0
18604	0	0	7	0	0	94123	0	0	0	0	0	0	0	0	0	0	0
18605	0	0	6	0	0	94124	0	0	0	0	0	0	0	0	0	0	0
18606	0	15	6	0	0	0	94104	5	0	0	0	0	0	0	0	0	0
18607	0	94123	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18608	0	94125	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18609	0	94120	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0
18610	0	0	5	0	1	94124	0	0	0	0	0	0	0	0	0	0	0
18611	0	0	6	94124	0	0	0	0	0	0	0	0	0	0	0	0	0
18612	0	1	7	2	0	94120	0	0	0	0	0	0	0	0	0	0	0
18613	0	94124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18614	0	94124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18615	0	1	6	2	0	94121	0	0	0	0	0	0	0	0	0	0	0
18616	0	0	6	94110	0	14	0	0	0	0	0	0	0	0	0	0	0
18617	0	0	6	0	0	0	94124	0	0	0	0	0	0	0	0	0	0
18618	0	0	6	94123	0	0	0	0	0	0	1	0	0	0	0	0	0
18619	0	94127	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18620	0	0	3	0	0	0	94126	1	0	0	0	0	0	0	0	0	0
18621	0	94127	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18622	0	0	1	94129	0	0	0	0	0	0	0	0	0	0	0	0	0
18623	0	94122	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0
18624	0	0	1	0	0	94128	0	0	0	1	0	0	0	0	0	0	0
18625	0	0	1	94128	0	1	0	0	0	0	0	0	0	0	0	0	0
18626	0	0	1	94129	0	0	0	0	0	0	0	0	0	0	0	0	0
18627	0	0	1	3	0	94126	0	0	0	0	0	0	0	0	0	0	0
18628	1	94128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18629	1	0	4	94125	0	0	0	0	0	0	0	0	0	0	0	0	0
18630	0	94124	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0
18631	0	94129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18632	0	94126	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
18633	0	94129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18634	0	2	1	1	0	94126	0	0	0	0	0	0	0	0	0	0	0
18635	0	94129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18636	0	7	2	8	1	94111	0	0	1	0	0	0	0	0	0	0	0
18637	0	0	1	94129	0	0	0	0	0	0	0	0	0	0	0	0	0
18638	0	0	1	94128	0	1	0	0	0	0	0	0	0	0	0	0	0
18639	0	0	1	94123	0	5	0	0	1	0	0	0	0	0	0	0	0
18640	0	1	1	94123	0	5	0	0	0	0	0	0	0	0	0	0	0
18641	0	94128	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18642	0	1	1	94128	0	0	0	0	0	0	0	0	0	0	0	0	0
18643	0	0	1	0	0	94129	0	0	0	0	0	0	0	0	0	0	0
18644	0	0	1	0	0	94129	0	0	0	0	0	0	0	0	0	0	0
18645	0	1	2	94127	0	0	0	0	0	0	0	0	0	0	0	0	0
18646	0	8	2	0	0	0	94118	2	0	0	0	0	0	0	0	0	0
18647	0	66	3	0	0	0	94057	4	0	0	0	0	0	0	0	0	0
18648	0	94126	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
18649	0	0	2	0	0	94128	0	0	0	0	0	0	0	0	0	0	0
18650	0	0	2	94126	0	0	2	0	0	0	0	0	0	0	0	0	0
18651	0	32	20	6	4	94067	1	0	0	0	0	0	0	0	0	0	0
18652	0	30	22	0	0	0	94075	3	0	0	0	0	0	0	0	0	0
18653	0	1	21	1	0	94106	0	0	1	0	0	0	0	0	0	0	0
18654	0	18	21	0	0	0	94090	1	0	0	0	0	0	0	0	0	0
18655	0	0	20	94110	0	0	0	0	0	0	0	0	0	0	0	0	0
18656	0	11	19	0	0	0	94100	0	0	0	0	0	0	0	0	0	0
18657	0	63	21	0	0	1	94032	13	0	0	0	0	0	0	0	0	0
18658	0	94110	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18659	0	0	21	0	1	94108	0	0	0	0	0	0	0	0	0	0	0
18660	0	94106	20	0	0	0	4	0	0	0	0	0	0	0	0	0	0
18661	0	94110	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18662	0	1	20	0	0	94036	72	0	0	1	0	0	0	0	0	0	0
18663	0	94106	21	0	0	0	3	0	0	0	0	0	0	0	0	0	0
18664	0	2	21	0	0	0	94107	0	0	0	0	0	0	0	0	0	0
18665	0	94109	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18666	0	0	21	94108	0	0	1	0	0	0	0	0	0	0	0	0	0
18667	0	94109	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18668	0	0	20	0	0	94110	0	0	0	0	0	0	0	0	0	0	0
18669	0	94104	22	0	0	0	3	1	0	0	0	0	0	0	0	0	0
18670	0	0	23	1	1	94104	0	0	1	0	0	0	0	0	0	0	0
18671	0	0	22	94104	0	3	1	0	0	0	0	0	0	0	0	0	0
18672	0	94104	23	0	0	0	3	0	0	0	0	0	0	0	0	0	0
18673	0	0	19	94110	0	1	0	0	0	0	0	0	0	0	0	0	0
18674	0	0	19	85	0	94026	0	0	0	0	0	0	0	0	0	0	0
18675	0	0	19	94111	0	0	0	0	0	0	0	0	0	0	0	0	0
18676	0	4	20	0	0	0	94106	0	0	0	0	0	0	0	0	0	0
18677	0	15	19	1	0	94095	0	0	0	0	0	0	0	0	0	0	0
18678	0	94109	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18679	0	0	19	1	0	94110	0	0	0	0	0	0	0	0	0	0	0
18680	0	8	19	0	0	0	94102	1	0	0	0	0	0	0	0	0	0
18681	0	17	17	0	0	0	94094	2	0	0	0	0	0	0	0	0	0
18682	0	0	17	94109	0	3	0	0	0	0	0	1	0	0	0	0	0
18683	0	10	15	0	0	0	94104	1	0	0	0	0	0	0	0	0	0
18684	0	0	15	94113	0	1	1	0	0	0	0	0	0	0	0	0	0
18685	0	94115	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18686	0	6	14	0	3	94106	1	0	0	0	0	0	0	0	0	0	0
18687	0	69	14	0	0	0	94044	3	0	0	0	0	0	0	0	0	0
18688	0	94115	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18689	0	94113	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0
18690	0	94111	12	0	6	0	1	0	0	0	0	0	0	0	0	0	0
18691	0	94118	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18692	0	4	12	0	0	0	94113	1	0	0	0	0	0	0	0	0	0
18693	0	5	11	1	0	0	94108	5	0	0	0	0	0	0	0	0	0
18694	0	0	11	94119	0	0	0	0	0	0	0	0	0	0	0	0	0
18695	0	6	11	0	0	0	94112	1	0	0	0	0	0	0	0	0	0
18696	0	94117	11	1	0	0	1	0	0	0	0	0	0	0	0	0	0
18697	0	0	9	1	0	94117	0	0	3	0	0	0	0	0	0	0	0
18698	0	11	9	0	0	0	94109	1	0	0	0	0	0	0	0	0	0
18699	0	94120	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18700	0	94119	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0
18701	0	0	8	0	0	0	94122	0	0	0	0	0	0	0	0	0	0
18702	0	3	8	94116	0	0	3	0	0	0	0	0	0	0	0	0	0
18703	0	18	8	4	3	94097	0	0	0	0	0	0	0	0	0	0	0
18704	0	0	8	94119	0	3	0	0	0	0	0	0	0	0	0	0	0
18705	0	5	10	0	0	0	94115	0	0	0	0	0	0	0	0	0	0
18706	0	0	8	94120	0	1	0	0	0	0	1	0	0	0	0	0	0
18707	0	0	8	1	0	0	94121	0	0	0	0	0	0	0	0	0	0
18708	0	94121	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0
18709	0	94121	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18710	0	0	8	94120	0	2	0	0	0	0	0	0	0	0	0	0	0
18711	0	94121	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18712	0	1	8	0	0	94121	0	0	0	0	0	0	0	0	0	0	0
18713	0	44	8	0	0	0	94077	1	0	0	0	0	0	0	0	0	0
18714	0	11	8	3	0	0	94107	1	0	0	0	0	0	0	0	0	0
18715	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18716	0	0	8	0	8	94114	0	0	0	0	0	0	0	0	0	0	0
18717	0	94121	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18718	0	94120	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18719	0	0	8	0	1	94121	0	0	0	0	0	0	0	0	0	0	0
18720	0	0	8	1	0	94121	0	0	0	0	0	0	0	0	0	0	0
18721	0	0	8	0	0	0	94122	0	0	0	0	0	0	0	0	0	0
18722	0	0	8	94122	0	0	0	0	0	0	0	0	0	0	0	0	0
18723	0	94086	8	0	1	0	35	0	0	0	0	0	0	0	0	0	0
18724	0	0	8	0	0	0	94122	0	0	0	0	0	0	0	0	0	0
18725	0	0	8	94122	0	0	0	0	0	0	0	0	0	0	0	0	0
18726	0	94121	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18727	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18728	0	0	8	0	0	0	94122	0	0	0	0	0	0	0	0	0	0
18729	0	94120	8	1	0	0	0	1	0	0	0	0	0	0	0	0	0
18730	0	0	8	94121	0	1	0	0	0	0	0	0	0	0	0	0	0
18731	0	94121	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18732	0	94122	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0
18733	0	0	7	0	0	94123	0	0	0	0	0	0	0	0	0	0	0
18734	0	0	7	0	0	94123	0	0	0	0	0	0	0	0	0	0	0
18735	0	0	7	94114	0	7	1	0	1	0	0	0	0	0	0	0	0
18736	0	93655	8	0	0	0	464	3	0	0	0	0	0	0	0	0	0
18737	0	94122	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18738	0	94122	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18739	0	1	4	0	0	94125	0	0	0	0	0	0	0	0	0	0	0
18740	0	0	4	94126	0	0	0	0	0	0	0	0	0	0	0	0	0
18741	0	94124	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
18742	0	94124	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18743	0	0	3	94127	0	0	0	0	0	0	0	0	0	0	0	0	0
18744	0	163	7	0	0	0	93952	8	0	0	0	0	0	0	0	0	0
18745	0	7	4	1	0	94118	0	0	0	0	0	0	0	0	0	0	0
18746	0	94127	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18747	0	197	3	0	0	0	93921	8	0	0	0	1	0	0	0	0	0
18748	0	94126	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
18749	0	0	2	94127	0	0	0	0	0	0	0	1	0	0	0	0	0
18750	0	94123	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0
18751	0	0	2	94118	0	10	0	0	0	0	0	0	0	0	0	0	0
18752	0	0	3	94126	0	1	0	0	0	0	0	0	0	0	0	0	0
18753	0	94119	3	0	0	0	7	1	0	0	0	0	0	0	0	0	0
18754	0	0	3	0	0	1	94126	0	0	0	0	0	0	0	0	0	0
18755	0	9	3	0	0	0	94118	0	0	0	0	0	0	0	0	0	0
18756	0	80	4	8	3	94033	0	0	2	0	0	0	0	0	0	0	0
18757	0	94126	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18758	0	94126	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
